Transaction Date,Total Spent,Location,Province,Item
2022-07-22,18.12,In-store,Saskatchewan,Salad
2022-07-18,18.0,Takeaway,Newfoundland and Labrador,Salad
2022-07-22,9.02,Takeaway,British Columbia,Salad
2022-07-04,9.21,Takeaway,British Columbia,Salad
2022-07-31,17.6,In-store,British Columbia,Salad
2022-07-31,18.14,In-store,Saskatchewan,Salad
2022-07-15,9.05,In-store,Newfoundland and Labrador,Salad
2022-08-12,6.88,In-store,Newfoundland and Labrador,Coffee
2022-08-19,7.09,Takeaway,British Columbia,Coffee
2022-08-24,3.57,Takeaway,Newfoundland and Labrador,Coffee
2022-08-18,3.47,Takeaway,Manitoba,Coffee
2022-08-16,17.16,In-store,Saskatchewan,Coffee
2022-08-23,7.22,Takeaway,Saskatchewan,Coffee
2022-08-23,10.68,Takeaway,British Columbia,Coffee
2022-08-26,7.02,In-store,Newfoundland and Labrador,Coffee
2022-08-02,7.21,In-store,Newfoundland and Labrador,Coffee
2022-08-24,4.21,In-store,British Columbia,Coffee
2022-08-16,10.37,Takeaway,Saskatchewan,Coffee
2022-08-02,6.86,In-store,Newfoundland and Labrador,Coffee
2022-08-22,3.49,In-store,Newfoundland and Labrador,Coffee
2022-08-23,7.11,Takeaway,British Columbia,Coffee
2022-08-17,3.6,In-store,Saskatchewan,Coffee
2022-08-25,3.5,Takeaway,British Columbia,Coffee
2022-08-10,3.58,In-store,British Columbia,Coffee
2022-08-06,7.0,In-store,Saskatchewan,Coffee
2022-08-11,3.49,In-store,Manitoba,Coffee
2022-08-12,3.45,In-store,Manitoba,Coffee
2022-08-23,3.41,In-store,Newfoundland and Labrador,Coffee
2022-08-26,3.46,In-store,Saskatchewan,Coffee
2022-08-23,3.41,In-store,British Columbia,Coffee
2022-08-05,3.64,Takeaway,Newfoundland and Labrador,Coffee
2022-08-11,3.53,In-store,Newfoundland and Labrador,Coffee
2022-08-04,3.49,Takeaway,Saskatchewan,Coffee
2022-08-22,7.24,Takeaway,Manitoba,Coffee
2022-08-08,3.41,Takeaway,Saskatchewan,Coffee
2022-08-17,3.49,Takeaway,Saskatchewan,Coffee
2022-08-25,7.28,In-store,Newfoundland and Labrador,Coffee
2022-08-22,6.98,In-store,British Columbia,Coffee
2022-08-10,3.67,In-store,British Columbia,Coffee
2022-08-10,7.11,Takeaway,Manitoba,Coffee
2022-08-21,7.08,In-store,British Columbia,Coffee
2022-08-17,7.18,In-store,Newfoundland and Labrador,Coffee
2022-08-03,10.78,Takeaway,Saskatchewan,Coffee
2022-08-28,6.98,Takeaway,Saskatchewan,Coffee
2022-08-16,3.5,In-store,Saskatchewan,Coffee
2022-08-16,6.93,In-store,Manitoba,Coffee
2022-08-06,3.53,In-store,British Columbia,Coffee
2022-08-11,3.49,In-store,Manitoba,Coffee
2022-08-10,3.43,In-store,British Columbia,Coffee
2022-08-09,6.99,Takeaway,Saskatchewan,Coffee
2022-08-18,7.0,In-store,Newfoundland and Labrador,Coffee
2022-08-15,7.24,Takeaway,Newfoundland and Labrador,Coffee
2022-08-29,3.54,In-store,Newfoundland and Labrador,Coffee
2022-08-30,7.33,In-store,Manitoba,Coffee
2022-08-07,7.16,In-store,British Columbia,Coffee
2022-08-03,3.35,In-store,Newfoundland and Labrador,Coffee
2022-08-25,6.83,In-store,British Columbia,Coffee
2022-08-31,6.95,Takeaway,Saskatchewan,Coffee
2022-08-27,10.46,Takeaway,Saskatchewan,Coffee
2022-08-01,3.6,In-store,Manitoba,Coffee
2022-08-08,3.49,In-store,Newfoundland and Labrador,Coffee
2022-08-02,6.79,In-store,Manitoba,Coffee
2022-08-25,6.97,In-store,Newfoundland and Labrador,Coffee
2022-08-18,10.25,In-store,Manitoba,Coffee
2022-08-16,3.4,Takeaway,British Columbia,Coffee
2022-08-17,10.92,Takeaway,British Columbia,Coffee
2022-08-09,3.48,In-store,British Columbia,Coffee
2022-08-19,7.02,In-store,British Columbia,Coffee
2022-08-01,6.99,In-store,Saskatchewan,Coffee
2022-08-21,10.56,In-store,Newfoundland and Labrador,Coffee
2022-08-23,3.48,In-store,Manitoba,Coffee
2022-08-22,3.44,Takeaway,Newfoundland and Labrador,Coffee
2022-08-10,3.48,In-store,Manitoba,Coffee
2022-08-26,17.62,In-store,Manitoba,Coffee
2022-08-23,3.6,In-store,Manitoba,Coffee
2022-08-04,3.57,In-store,Manitoba,Coffee
2022-08-05,13.66,In-store,British Columbia,Coffee
2022-08-20,10.76,In-store,Newfoundland and Labrador,Coffee
2022-08-09,10.71,In-store,Manitoba,Coffee
2022-08-03,3.53,In-store,Newfoundland and Labrador,Coffee
2022-08-04,3.46,In-store,Newfoundland and Labrador,Coffee
2022-08-05,14.05,Takeaway,British Columbia,Coffee
2022-08-16,7.08,In-store,Newfoundland and Labrador,Coffee
2022-08-19,3.5,In-store,Newfoundland and Labrador,Coffee
2022-08-05,3.53,In-store,British Columbia,Coffee
2022-08-23,6.88,In-store,Saskatchewan,Coffee
2022-08-09,3.64,Takeaway,Manitoba,Coffee
2022-08-10,3.36,In-store,Newfoundland and Labrador,Coffee
2022-08-08,10.62,Takeaway,British Columbia,Coffee
2022-08-25,7.05,In-store,Saskatchewan,Coffee
2022-08-31,3.55,In-store,Newfoundland and Labrador,Coffee
2022-08-16,6.9,Takeaway,Newfoundland and Labrador,Coffee
2022-08-02,14.33,In-store,Newfoundland and Labrador,Coffee
2022-08-09,3.49,In-store,Saskatchewan,Coffee
2022-08-04,3.42,In-store,Newfoundland and Labrador,Coffee
2022-08-26,3.42,In-store,Newfoundland and Labrador,Coffee
2022-08-03,7.02,Takeaway,Newfoundland and Labrador,Coffee
2022-08-31,6.78,In-store,Saskatchewan,Coffee
2022-08-18,7.25,Takeaway,Newfoundland and Labrador,Coffee
2022-08-17,16.25,In-store,Saskatchewan,Coffee
2022-08-26,3.63,Takeaway,Manitoba,Coffee
2022-08-01,3.62,In-store,British Columbia,Coffee
2022-08-24,10.43,In-store,Manitoba,Coffee
2022-08-03,13.76,In-store,Saskatchewan,Coffee
2022-08-26,3.31,Takeaway,Manitoba,Coffee
2022-08-17,10.41,In-store,Saskatchewan,Coffee
2022-08-02,10.87,In-store,Manitoba,Coffee
2022-08-26,13.77,In-store,British Columbia,Coffee
2022-08-01,3.49,Takeaway,Newfoundland and Labrador,Coffee
2022-08-04,6.92,Takeaway,British Columbia,Coffee
2022-08-25,10.58,In-store,Newfoundland and Labrador,Coffee
2022-08-15,3.59,Takeaway,Saskatchewan,Coffee
2022-08-29,3.39,Takeaway,British Columbia,Coffee
2022-08-19,3.41,Takeaway,Newfoundland and Labrador,Coffee
2022-08-19,10.81,In-store,Manitoba,Coffee
2022-08-09,3.55,Takeaway,Manitoba,Coffee
2022-08-04,10.45,In-store,Newfoundland and Labrador,Coffee
2022-08-31,3.62,In-store,Saskatchewan,Coffee
2022-08-03,3.4,In-store,British Columbia,Coffee
2022-08-17,17.83,In-store,Saskatchewan,Coffee
2022-08-09,13.98,In-store,Newfoundland and Labrador,Coffee
2022-08-09,7.08,Takeaway,Newfoundland and Labrador,Coffee
2022-08-18,3.33,In-store,Saskatchewan,Coffee
2022-08-25,3.48,In-store,British Columbia,Coffee
2022-08-24,3.55,Takeaway,Manitoba,Coffee
2022-08-28,10.47,Takeaway,Saskatchewan,Coffee
2022-08-09,6.99,In-store,British Columbia,Coffee
2022-08-15,10.76,In-store,Manitoba,Coffee
2022-08-01,7.17,Takeaway,Saskatchewan,Coffee
2022-08-24,10.3,In-store,British Columbia,Coffee
2022-08-10,7.12,Takeaway,British Columbia,Coffee
2022-08-18,3.43,Takeaway,Newfoundland and Labrador,Coffee
2022-08-05,3.5,In-store,British Columbia,Coffee
2022-08-25,17.73,In-store,Newfoundland and Labrador,Coffee
2022-08-25,6.88,In-store,British Columbia,Coffee
2022-08-28,10.26,Takeaway,Saskatchewan,Coffee
2022-08-02,14.22,In-store,British Columbia,Coffee
2022-08-31,9.97,Takeaway,Saskatchewan,Refresher
2022-08-08,14.67,In-store,Saskatchewan,Refresher
2022-08-10,5.03,Takeaway,Manitoba,Refresher
2022-08-08,5.0,In-store,British Columbia,Refresher
2022-08-09,5.08,Takeaway,Newfoundland and Labrador,Refresher
2022-08-17,9.99,In-store,British Columbia,Refresher
2022-08-08,14.81,Takeaway,British Columbia,Refresher
2022-08-12,10.03,In-store,British Columbia,Refresher
2022-08-21,19.92,In-store,British Columbia,Refresher
2022-08-26,5.04,Takeaway,Manitoba,Refresher
2022-08-23,5.0,Takeaway,British Columbia,Refresher
2022-08-18,10.25,Takeaway,Newfoundland and Labrador,Refresher
2022-08-04,4.89,In-store,British Columbia,Refresher
2022-08-25,5.09,In-store,British Columbia,Refresher
2022-08-02,9.76,Takeaway,Newfoundland and Labrador,Refresher
2022-08-09,5.07,Takeaway,Newfoundland and Labrador,Refresher
2022-08-02,4.79,In-store,British Columbia,Refresher
2022-08-22,4.97,In-store,Saskatchewan,Refresher
2022-08-11,5.1,In-store,Manitoba,Refresher
2022-08-21,15.07,In-store,Newfoundland and Labrador,Refresher
2022-08-11,4.96,In-store,British Columbia,Refresher
2022-08-15,4.99,In-store,Saskatchewan,Refresher
2022-08-15,5.03,In-store,Saskatchewan,Refresher
2022-08-02,4.77,In-store,Saskatchewan,Refresher
2022-08-14,10.13,Takeaway,Saskatchewan,Refresher
2022-08-20,10.39,In-store,British Columbia,Refresher
2022-08-17,5.03,In-store,Newfoundland and Labrador,Refresher
2022-08-03,9.81,In-store,Saskatchewan,Refresher
2022-08-22,20.37,In-store,Manitoba,Refresher
2022-08-10,4.99,In-store,Newfoundland and Labrador,Refresher
2022-08-01,10.05,Takeaway,Saskatchewan,Refresher
2022-08-04,4.88,Takeaway,Manitoba,Refresher
2022-08-16,10.15,In-store,Manitoba,Refresher
2022-08-10,14.98,Takeaway,Newfoundland and Labrador,Refresher
2022-08-23,9.69,Takeaway,Saskatchewan,Refresher
2022-08-08,9.89,Takeaway,Newfoundland and Labrador,Refresher
2022-08-24,5.06,In-store,Newfoundland and Labrador,Refresher
2022-08-09,20.03,Takeaway,British Columbia,Refresher
2022-08-19,15.2,In-store,Saskatchewan,Refresher
2022-08-25,19.83,In-store,Newfoundland and Labrador,Refresher
2022-08-12,15.35,In-store,British Columbia,Refresher
2022-08-02,5.14,In-store,British Columbia,Refresher
2022-08-17,19.28,In-store,Newfoundland and Labrador,Refresher
2022-08-31,20.21,In-store,Newfoundland and Labrador,Refresher
2022-08-31,5.15,In-store,British Columbia,Refresher
2022-08-08,5.04,In-store,Saskatchewan,Refresher
2022-08-24,9.98,In-store,Newfoundland and Labrador,Refresher
2022-08-11,20.92,In-store,Saskatchewan,Refresher
2022-08-04,19.85,Takeaway,British Columbia,Refresher
2022-08-22,9.89,In-store,British Columbia,Refresher
2022-08-16,15.25,In-store,British Columbia,Refresher
2022-08-17,5.09,In-store,Manitoba,Refresher
2022-08-26,9.96,In-store,Newfoundland and Labrador,Refresher
2022-08-10,9.8,Takeaway,British Columbia,Refresher
2022-08-22,19.13,In-store,British Columbia,Refresher
2022-08-11,20.21,Takeaway,Saskatchewan,Refresher
2022-08-02,5.04,Takeaway,Newfoundland and Labrador,Refresher
2022-08-11,14.36,In-store,British Columbia,Refresher
2022-08-30,5.05,Takeaway,Newfoundland and Labrador,Refresher
2022-08-16,5.08,In-store,Saskatchewan,Refresher
2022-08-03,14.16,Takeaway,British Columbia,Refresher
2022-08-22,9.79,In-store,Manitoba,Refresher
2022-08-31,5.24,In-store,Saskatchewan,Refresher
2022-08-29,5.0,Takeaway,British Columbia,Refresher
2022-08-18,20.9,Takeaway,Manitoba,Refresher
2022-08-11,15.06,In-store,Newfoundland and Labrador,Refresher
2022-08-18,15.32,In-store,British Columbia,Refresher
2022-08-25,14.9,Takeaway,Saskatchewan,Refresher
2022-08-27,15.2,Takeaway,Newfoundland and Labrador,Refresher
2022-08-25,9.86,In-store,Manitoba,Refresher
2022-08-15,14.51,In-store,Manitoba,Refresher
2022-08-03,5.05,In-store,British Columbia,Refresher
2022-08-18,4.91,In-store,Manitoba,Refresher
2022-08-04,4.9,In-store,Saskatchewan,Refresher
2022-08-02,4.84,Takeaway,British Columbia,Refresher
2022-08-16,5.0,In-store,British Columbia,Refresher
2022-08-21,14.88,In-store,Manitoba,Refresher
2022-08-26,5.07,In-store,Newfoundland and Labrador,Refresher
2022-08-25,9.95,In-store,Newfoundland and Labrador,Refresher
2022-08-27,10.56,In-store,Saskatchewan,Refresher
2022-08-24,4.97,In-store,Saskatchewan,Refresher
2022-08-23,5.15,Takeaway,Saskatchewan,Refresher
2022-08-01,4.84,Takeaway,Saskatchewan,Refresher
2022-08-19,10.36,In-store,Saskatchewan,Refresher
2022-08-04,4.86,In-store,Newfoundland and Labrador,Refresher
2022-08-02,14.96,In-store,Saskatchewan,Refresher
2022-08-04,10.07,In-store,Newfoundland and Labrador,Refresher
2022-08-26,20.39,In-store,British Columbia,Refresher
2022-08-24,19.36,In-store,British Columbia,Refresher
2022-08-30,15.05,Takeaway,Saskatchewan,Refresher
2022-08-31,4.94,Takeaway,Manitoba,Refresher
2022-08-29,5.1,In-store,Manitoba,Refresher
2022-08-04,19.75,Takeaway,Newfoundland and Labrador,Refresher
2022-08-28,9.78,In-store,Saskatchewan,Refresher
2022-08-26,9.61,In-store,Saskatchewan,Refresher
2022-08-28,5.04,In-store,Newfoundland and Labrador,Refresher
2022-08-04,10.07,Takeaway,British Columbia,Refresher
2022-08-03,5.0,In-store,British Columbia,Refresher
2022-08-30,5.18,In-store,British Columbia,Refresher
2022-08-05,10.19,In-store,British Columbia,Refresher
2022-08-11,19.65,In-store,British Columbia,Refresher
2022-08-15,15.29,In-store,British Columbia,Refresher
2022-08-04,10.02,In-store,Saskatchewan,Refresher
2022-08-01,25.36,Takeaway,Newfoundland and Labrador,Refresher
2022-08-31,4.92,In-store,Saskatchewan,Refresher
2022-08-28,9.96,In-store,British Columbia,Refresher
2022-08-29,4.96,Takeaway,Manitoba,Refresher
2022-08-09,15.19,Takeaway,Saskatchewan,Refresher
2022-08-07,14.96,In-store,Manitoba,Refresher
2022-08-14,10.08,In-store,Newfoundland and Labrador,Refresher
2022-08-15,15.22,Takeaway,Saskatchewan,Refresher
2022-08-01,4.79,In-store,British Columbia,Refresher
2022-08-24,15.17,Takeaway,Saskatchewan,Refresher
2022-08-31,9.83,Takeaway,British Columbia,Refresher
2022-08-17,15.07,Takeaway,Saskatchewan,Refresher
2022-08-12,9.67,In-store,Newfoundland and Labrador,Refresher
2022-08-12,5.09,In-store,British Columbia,Refresher
2022-08-03,5.07,Takeaway,Newfoundland and Labrador,Refresher
2022-08-09,4.92,In-store,British Columbia,Refresher
2022-08-16,10.08,Takeaway,Manitoba,Refresher
2022-08-14,10.09,In-store,Manitoba,Refresher
2022-08-17,5.0,Takeaway,Newfoundland and Labrador,Refresher
2022-08-26,15.18,In-store,British Columbia,Refresher
2022-08-08,4.86,Takeaway,Saskatchewan,Refresher
2022-08-01,9.76,Takeaway,British Columbia,Refresher
2022-08-02,9.85,In-store,Manitoba,Refresher
2022-08-04,5.77,In-store,British Columbia,Tea
2022-08-18,2.98,In-store,British Columbia,Tea
2022-08-25,14.52,In-store,Newfoundland and Labrador,Tea
2022-08-29,3.0,Takeaway,British Columbia,Tea
2022-08-19,2.97,Takeaway,Manitoba,Tea
2022-08-12,12.01,Takeaway,Manitoba,Tea
2022-08-04,8.81,In-store,Manitoba,Tea
2022-08-12,15.41,In-store,Saskatchewan,Tea
2022-08-10,2.9,In-store,Newfoundland and Labrador,Tea
2022-08-28,14.5,Takeaway,Newfoundland and Labrador,Tea
2022-08-16,3.06,In-store,Saskatchewan,Tea
2022-08-08,3.07,In-store,British Columbia,Tea
2022-08-09,3.45,In-store,Saskatchewan,Tea
2022-08-04,2.97,In-store,Newfoundland and Labrador,Tea
2022-08-30,3.0,In-store,Newfoundland and Labrador,Tea
2022-08-02,8.68,In-store,Saskatchewan,Tea
2022-08-01,2.99,Takeaway,Manitoba,Tea
2022-08-05,2.91,Takeaway,Saskatchewan,Tea
2022-08-25,2.99,Takeaway,Newfoundland and Labrador,Tea
2022-08-17,11.85,In-store,British Columbia,Tea
2022-08-19,12.05,In-store,British Columbia,Tea
2022-08-11,2.98,In-store,Saskatchewan,Tea
2022-08-02,9.06,In-store,Newfoundland and Labrador,Tea
2022-08-26,8.87,In-store,British Columbia,Tea
2022-08-05,2.8,In-store,British Columbia,Tea
2022-08-02,5.96,In-store,Manitoba,Tea
2022-08-18,5.82,In-store,Manitoba,Tea
2022-08-03,6.11,In-store,Saskatchewan,Tea
2022-08-03,11.7,Takeaway,Manitoba,Tea
2022-08-25,9.19,In-store,Manitoba,Tea
2022-08-16,3.03,Takeaway,Newfoundland and Labrador,Tea
2022-08-08,3.01,Takeaway,British Columbia,Tea
2022-08-11,6.14,In-store,British Columbia,Tea
2022-08-23,5.7,Takeaway,Manitoba,Tea
2022-08-02,5.98,In-store,Saskatchewan,Tea
2022-08-03,3.0,In-store,Newfoundland and Labrador,Tea
2022-08-19,11.89,In-store,Manitoba,Tea
2022-08-19,6.0,In-store,Saskatchewan,Tea
2022-08-31,2.99,Takeaway,British Columbia,Tea
2022-08-11,2.92,Takeaway,Manitoba,Tea
2022-08-02,6.06,In-store,British Columbia,Tea
2022-08-17,8.9,Takeaway,Saskatchewan,Tea
2022-08-20,9.09,In-store,Newfoundland and Labrador,Tea
2022-08-04,3.02,In-store,Newfoundland and Labrador,Tea
2022-08-17,12.01,Takeaway,Newfoundland and Labrador,Tea
2022-08-06,8.94,Takeaway,Newfoundland and Labrador,Tea
2022-08-26,9.17,Takeaway,Manitoba,Tea
2022-08-26,12.43,Takeaway,Newfoundland and Labrador,Tea
2022-08-14,8.91,In-store,Newfoundland and Labrador,Tea
2022-08-31,2.89,Takeaway,Manitoba,Tea
2022-08-31,9.2,In-store,Newfoundland and Labrador,Tea
2022-08-04,6.08,Takeaway,British Columbia,Tea
2022-08-11,12.09,In-store,Manitoba,Tea
2022-08-18,3.06,In-store,Newfoundland and Labrador,Tea
2022-08-03,9.32,In-store,Manitoba,Tea
2022-08-12,2.96,In-store,Saskatchewan,Tea
2022-08-09,9.6,Takeaway,Saskatchewan,Tea
2022-08-30,2.92,In-store,Manitoba,Tea
2022-08-12,2.98,In-store,British Columbia,Tea
2022-08-24,7.64,In-store,Newfoundland and Labrador,Tea
2022-08-12,5.94,In-store,Saskatchewan,Tea
2022-08-04,2.99,In-store,British Columbia,Tea
2022-08-27,9.24,Takeaway,Saskatchewan,Tea
2022-08-01,6.07,In-store,British Columbia,Tea
2022-08-02,3.01,Takeaway,Newfoundland and Labrador,Tea
2022-08-11,6.21,In-store,Newfoundland and Labrador,Tea
2022-08-22,6.17,Takeaway,British Columbia,Tea
2022-08-11,2.97,Takeaway,British Columbia,Tea
2022-08-02,3.02,In-store,British Columbia,Tea
2022-08-10,6.12,In-store,British Columbia,Tea
2022-08-08,11.5,Takeaway,Newfoundland and Labrador,Tea
2022-08-01,3.01,Takeaway,Manitoba,Tea
2022-08-17,11.91,In-store,British Columbia,Tea
2022-08-03,3.0,In-store,Saskatchewan,Tea
2022-08-09,6.23,In-store,British Columbia,Tea
2022-08-20,3.0,In-store,Saskatchewan,Tea
2022-08-23,3.05,In-store,Saskatchewan,Tea
2022-08-09,6.06,In-store,Manitoba,Tea
2022-08-10,5.92,Takeaway,Saskatchewan,Tea
2022-08-08,9.21,In-store,Manitoba,Tea
2022-08-31,5.87,In-store,British Columbia,Tea
2022-08-05,5.99,In-store,Manitoba,Tea
2022-08-05,3.03,In-store,Newfoundland and Labrador,Tea
2022-08-15,3.02,Takeaway,British Columbia,Tea
2022-08-05,15.59,In-store,Newfoundland and Labrador,Sandwich
2022-08-04,8.15,In-store,Newfoundland and Labrador,Sandwich
2022-08-03,16.02,In-store,British Columbia,Sandwich
2022-08-20,23.65,In-store,Newfoundland and Labrador,Sandwich
2022-08-19,31.93,In-store,Manitoba,Sandwich
2022-08-21,15.93,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-24,7.93,In-store,Newfoundland and Labrador,Sandwich
2022-08-10,32.35,In-store,British Columbia,Sandwich
2022-08-30,24.89,In-store,Saskatchewan,Sandwich
2022-08-23,16.42,In-store,Newfoundland and Labrador,Sandwich
2022-08-25,8.15,In-store,Saskatchewan,Sandwich
2022-08-23,15.96,Takeaway,British Columbia,Sandwich
2022-08-11,8.26,Takeaway,Manitoba,Sandwich
2022-08-09,8.07,In-store,British Columbia,Sandwich
2022-08-13,8.21,In-store,British Columbia,Sandwich
2022-08-03,23.5,In-store,Manitoba,Sandwich
2022-08-15,7.87,In-store,Saskatchewan,Sandwich
2022-08-02,8.26,In-store,Saskatchewan,Sandwich
2022-08-01,16.36,In-store,Saskatchewan,Sandwich
2022-08-30,41.02,Takeaway,British Columbia,Sandwich
2022-08-22,24.08,In-store,British Columbia,Sandwich
2022-08-18,23.59,Takeaway,Manitoba,Sandwich
2022-08-11,15.44,In-store,Saskatchewan,Sandwich
2022-08-18,23.6,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-29,31.06,In-store,Saskatchewan,Sandwich
2022-08-21,16.35,Takeaway,British Columbia,Sandwich
2022-08-19,33.49,In-store,Newfoundland and Labrador,Sandwich
2022-08-15,15.82,In-store,British Columbia,Sandwich
2022-08-11,7.91,In-store,British Columbia,Sandwich
2022-08-23,31.64,Takeaway,British Columbia,Sandwich
2022-08-31,7.72,In-store,Newfoundland and Labrador,Sandwich
2022-08-13,7.65,In-store,British Columbia,Sandwich
2022-08-12,30.83,In-store,Manitoba,Sandwich
2022-08-14,40.34,In-store,British Columbia,Sandwich
2022-08-13,32.74,In-store,Ontario,Sandwich
2022-08-31,8.26,In-store,British Columbia,Sandwich
2022-08-23,16.57,In-store,British Columbia,Sandwich
2022-08-11,24.57,In-store,Manitoba,Sandwich
2022-08-11,8.08,Takeaway,British Columbia,Sandwich
2022-08-14,39.83,In-store,Newfoundland and Labrador,Sandwich
2022-08-02,39.03,In-store,Newfoundland and Labrador,Sandwich
2022-08-17,24.62,In-store,Newfoundland and Labrador,Sandwich
2022-08-25,8.0,In-store,British Columbia,Sandwich
2022-08-22,8.09,Takeaway,British Columbia,Sandwich
2022-08-06,24.27,In-store,Manitoba,Sandwich
2022-08-23,8.05,In-store,Newfoundland and Labrador,Sandwich
2022-08-23,8.13,Takeaway,British Columbia,Sandwich
2022-08-09,16.31,In-store,Manitoba,Sandwich
2022-08-19,7.98,In-store,Saskatchewan,Sandwich
2022-08-19,8.17,Takeaway,Saskatchewan,Sandwich
2022-08-26,31.82,In-store,Saskatchewan,Sandwich
2022-08-04,16.33,Takeaway,British Columbia,Sandwich
2022-08-05,8.17,In-store,Newfoundland and Labrador,Sandwich
2022-08-16,15.46,In-store,Saskatchewan,Sandwich
2022-08-02,8.01,In-store,British Columbia,Sandwich
2022-08-12,30.62,Takeaway,Manitoba,Sandwich
2022-08-25,15.51,In-store,Saskatchewan,Sandwich
2022-08-04,8.01,In-store,British Columbia,Sandwich
2022-08-15,23.94,In-store,British Columbia,Sandwich
2022-08-31,15.92,In-store,Manitoba,Sandwich
2022-08-16,24.32,Takeaway,Manitoba,Sandwich
2022-08-16,15.88,Takeaway,British Columbia,Sandwich
2022-08-17,7.81,In-store,British Columbia,Sandwich
2022-08-05,31.02,Takeaway,British Columbia,Sandwich
2022-08-04,15.47,Takeaway,British Columbia,Sandwich
2022-08-22,7.86,Takeaway,Manitoba,Sandwich
2022-08-12,31.53,In-store,Saskatchewan,Sandwich
2022-08-09,8.23,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-01,32.11,In-store,Saskatchewan,Sandwich
2022-08-26,39.19,In-store,British Columbia,Sandwich
2022-08-02,8.14,Takeaway,Saskatchewan,Sandwich
2022-08-24,24.39,In-store,Manitoba,Sandwich
2022-08-12,7.93,Takeaway,Saskatchewan,Sandwich
2022-08-18,8.21,In-store,British Columbia,Sandwich
2022-08-08,8.17,In-store,Manitoba,Sandwich
2022-08-04,31.81,In-store,Manitoba,Sandwich
2022-08-17,23.98,In-store,Manitoba,Sandwich
2022-08-23,15.89,In-store,Newfoundland and Labrador,Sandwich
2022-08-05,5.57,Takeaway,Saskatchewan,Sandwich
2022-08-14,24.91,In-store,Saskatchewan,Sandwich
2022-08-15,15.27,In-store,Manitoba,Sandwich
2022-08-07,32.89,Takeaway,British Columbia,Sandwich
2022-08-18,8.15,In-store,Manitoba,Sandwich
2022-08-04,15.55,Takeaway,Saskatchewan,Sandwich
2022-08-16,15.8,Takeaway,Manitoba,Sandwich
2022-08-03,8.34,Takeaway,British Columbia,Sandwich
2022-08-16,7.95,Takeaway,British Columbia,Sandwich
2022-08-10,16.12,In-store,Saskatchewan,Sandwich
2022-08-15,24.22,Takeaway,Manitoba,Sandwich
2022-08-14,8.08,In-store,Newfoundland and Labrador,Sandwich
2022-08-29,8.06,In-store,British Columbia,Sandwich
2022-08-16,15.88,In-store,British Columbia,Sandwich
2022-08-25,8.08,In-store,Manitoba,Sandwich
2022-08-08,8.0,In-store,Newfoundland and Labrador,Sandwich
2022-08-11,15.46,In-store,British Columbia,Sandwich
2022-08-03,15.64,In-store,British Columbia,Sandwich
2022-08-13,24.16,In-store,British Columbia,Sandwich
2022-08-22,31.92,Takeaway,Manitoba,Sandwich
2022-08-26,8.09,Takeaway,British Columbia,Sandwich
2022-08-18,8.09,In-store,British Columbia,Sandwich
2022-08-20,15.99,In-store,Saskatchewan,Sandwich
2022-08-05,8.04,In-store,Newfoundland and Labrador,Sandwich
2022-08-02,8.01,In-store,British Columbia,Sandwich
2022-08-25,7.98,In-store,Manitoba,Sandwich
2022-08-05,8.06,Takeaway,Saskatchewan,Sandwich
2022-08-03,39.25,In-store,Newfoundland and Labrador,Sandwich
2022-08-30,8.01,Takeaway,British Columbia,Sandwich
2022-08-31,40.74,Takeaway,British Columbia,Sandwich
2022-08-19,16.04,In-store,Manitoba,Sandwich
2022-08-11,15.69,Takeaway,Manitoba,Sandwich
2022-08-26,15.69,In-store,Manitoba,Sandwich
2022-08-06,32.36,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-14,7.97,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-11,8.21,In-store,British Columbia,Sandwich
2022-08-30,7.98,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-30,15.54,Takeaway,British Columbia,Sandwich
2022-08-21,8.17,In-store,Newfoundland and Labrador,Sandwich
2022-08-03,7.84,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-16,7.73,Takeaway,Newfoundland and Labrador,Sandwich
2022-08-08,7.74,In-store,Manitoba,Sandwich
2022-08-29,8.05,Takeaway,British Columbia,Sandwich
2022-08-04,7.91,Takeaway,Saskatchewan,Sandwich
2022-08-02,7.54,Takeaway,Manitoba,Cookie
2022-08-23,5.12,In-store,British Columbia,Cookie
2022-08-15,7.35,Takeaway,British Columbia,Cookie
2022-08-26,7.24,Takeaway,Saskatchewan,Cookie
2022-08-02,4.96,Takeaway,Manitoba,Cookie
2022-08-25,5.0,Takeaway,Saskatchewan,Cookie
2022-08-02,2.41,In-store,Saskatchewan,Cookie
2022-08-01,7.41,In-store,British Columbia,Cookie
2022-08-15,7.69,Takeaway,Saskatchewan,Cookie
2022-08-08,2.53,Takeaway,Newfoundland and Labrador,Cookie
2022-08-18,2.51,Takeaway,Manitoba,Cookie
2022-08-01,2.45,Takeaway,British Columbia,Cookie
2022-08-02,5.13,In-store,Manitoba,Cookie
2022-08-23,7.44,In-store,British Columbia,Cookie
2022-08-07,4.96,In-store,Manitoba,Cookie
2022-08-21,4.99,In-store,Newfoundland and Labrador,Cookie
2022-08-24,7.51,In-store,British Columbia,Cookie
